iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,9106,13317,0
42,109,AI,OPEN,F,18286,21121,0
42,109,AI,EWS,N,1848,2105,0
42,109,AI,EWS,F,3122,3815,0
42,109,AI,OBC-NCL,N,3573,5138,0
42,109,AI,OBC-NCL,F,7450,8530,0
42,109,AI,SC,N,2128,2562,0
42,109,AI,SC,F,4031,4293,0
42,109,AI,ST,N,753,977,0
42,109,AI,ST,F,1718,1750,0
42,131,AI,OPEN,N,2389,3454,0
42,131,AI,OPEN,F,4833,7457,0
42,131,AI,OPEN-PwD,F,197,197,0
42,131,AI,EWS,N,361,415,0
42,131,AI,EWS,F,1025,1025,0
42,131,AI,OBC-NCL,N,750,1225,0
42,131,AI,OBC-NCL,F,2107,2661,0
42,131,AI,OBC-NCL-PwD,N,31,31,0
42,131,AI,SC,N,382,596,0
42,131,AI,SC,F,1279,1313,0
42,131,AI,SC-PwD,N,30,30,1
42,131,AI,ST,N,241,356,0
42,131,AI,ST,F,546,649,0
42,158,AI,OPEN,N,5155,6685,0
42,158,AI,OPEN,F,12140,14183,0
42,158,AI,OPEN-PwD,N,262,262,1
42,158,AI,EWS,N,1003,1151,0
42,158,AI,EWS,F,2194,2249,0
42,158,AI,OBC-NCL,N,2167,2868,0
42,158,AI,OBC-NCL,F,4170,6491,0
42,158,AI,SC,N,1105,1674,0
42,158,AI,SC,F,2081,2081,0
42,158,AI,ST,N,667,792,0
42,158,AI,ST,F,1179,1179,0
42,171,AI,OPEN,N,3711,5025,0
42,171,AI,OPEN,F,8187,10376,0
42,171,AI,OPEN-PwD,N,59,59,0
42,171,AI,EWS,N,601,738,0
42,171,AI,EWS,F,1431,1431,0
42,171,AI,OBC-NCL,N,1000,1990,0
42,171,AI,OBC-NCL,F,3327,3729,0
42,171,AI,SC,N,914,1239,0
42,171,AI,SC,F,1773,1915,0
42,171,AI,ST,N,384,538,0
42,171,AI,ST,F,910,910,0
42,190,AI,OPEN,N,9773,10179,0
42,190,AI,OPEN,F,17730,17730,0
42,190,AI,EWS,N,1497,1755,0
42,190,AI,OBC-NCL,N,3136,4378,0
42,190,AI,OBC-NCL,F,8720,9267,0
42,190,AI,SC,N,2045,2104,0
42,190,AI,SC,F,4096,4096,0
42,190,AI,ST,N,1160,1160,0
42,248,AI,OPEN,N,7185,9533,0
42,248,AI,OPEN,F,16104,18483,0
42,248,AI,OPEN-PwD,N,172,172,0
42,248,AI,EWS,N,1225,1489,0
42,248,AI,EWS,F,2705,2781,0
42,248,AI,OBC-NCL,N,3078,3776,0
42,248,AI,OBC-NCL,F,7053,7801,0
42,248,AI,SC,N,1907,2223,0
42,248,AI,SC,F,2465,3892,0
42,248,AI,ST,N,918,1035,0
42,248,AI,ST,F,1735,1735,0
42,261,AI,OPEN,N,11823,13863,0
42,261,AI,OPEN,F,18582,20995,0
42,261,AI,EWS,N,1966,2170,0
42,261,AI,EWS,F,3242,3242,0
42,261,AI,OBC-NCL,N,4730,5284,0
42,261,AI,OBC-NCL,F,9228,9228,0
42,261,AI,SC,N,2332,2774,0
42,261,AI,SC,F,4396,4396,0
42,261,AI,ST,N,1102,1223,0
42,261,AI,ST,F,330,602,1
43,6,AI,OPEN,N,817,2394,0
43,6,AI,OPEN,F,2494,6360,0
43,6,AI,OPEN-PwD,N,44,44,0
43,6,AI,OPEN-PwD,F,41,41,1
43,6,AI,EWS,N,327,618,0
43,6,AI,EWS,F,1050,1409,0
43,6,AI,OBC-NCL,N,447,1470,0
43,6,AI,OBC-NCL,F,1935,3442,0
43,6,AI,OBC-NCL-PwD,N,62,62,0
43,6,AI,SC,N,136,678,0
43,6,AI,SC,F,803,1493,0
43,6,AI,ST,N,184,471,0
43,6,AI,ST,F,424,424,0
43,72,AI,OPEN,N,631,1191,0
43,72,AI,OPEN,F,4101,4101,0
43,72,AI,OPEN-PwD,N,139,139,0
43,72,AI,EWS,N,360,360,0
43,72,AI,EWS,F,1490,1490,0
43,72,AI,OBC-NCL,N,1106,1291,0
43,72,AI,OBC-NCL,F,3479,3479,0
43,72,AI,SC,N,521,545,0
43,72,AI,SC,F,1438,1438,0
43,72,AI,ST,N,247,247,0
43,97,AI,OPEN,N,650,2529,0
43,97,AI,OPEN,F,4559,6650,0
43,97,AI,OPEN-PwD,N,130,153,0
43,97,AI,OPEN-PwD,F,265,265,1
43,97,AI,EWS,N,390,485,0
43,97,AI,EWS,F,927,1438,0
43,97,AI,EWS-PwD,N,44,44,1
43,97,AI,OBC-NCL,N,953,1337,0
43,97,AI,OBC-NCL,F,2481,3118,0
43,97,AI,OBC-NCL-PwD,N,64,64,0
43,97,AI,SC,N,492,783,0
43,97,AI,SC,F,1123,1498,0
43,97,AI,ST,N,301,413,0
43,97,AI,ST,F,344,742,0
43,104,AI,OPEN,N,5629,7065,0
43,104,AI,OPEN,F,9692,11262,0
43,104,AI,OPEN-PwD,N,193,193,0
43,104,AI,EWS,N,1175,1338,0
43,104,AI,EWS,F,2285,2285,0
43,104,AI,OBC-NCL,N,2780,3506,0
43,104,AI,OBC-NCL,F,7383,7570,0
43,104,AI,SC,N,1688,1936,0
43,104,AI,SC,F,3101,3101,0
43,104,AI,ST,N,1007,1036,0
43,104,AI,ST,F,1498,1498,0
43,109,AI,OPEN,N,2244,3987,0
43,109,AI,OPEN,F,6334,8833,0
43,109,AI,OPEN-PwD,N,142,151,0
43,109,AI,OPEN-PwD,F,148,148,1
43,109,AI,EWS,N,559,769,0
43,109,AI,EWS,F,1725,2005,0
43,109,AI,EWS-PwD,N,36,36,1
43,109,AI,OBC-NCL,N,1076,1979,0
43,109,AI,OBC-NCL,F,3419,4709,0
43,109,AI,OBC-NCL-PwD,N,50,53,1
43,109,AI,SC,N,580,998,0
