iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,9462,12911,0
42,109,AI,OPEN,F,16218,19272,0
42,109,AI,EWS,N,1852,1977,0
42,109,AI,EWS,F,3056,3056,0
42,109,AI,OBC-NCL,N,4014,4642,0
42,109,AI,OBC-NCL,F,5905,7094,0
42,109,AI,SC,N,1941,2441,0
42,109,AI,SC,F,2802,2802,0
42,109,AI,ST,N,713,852,0
42,109,AI,ST,F,1349,1349,0
42,110,AI,OPEN,N,9726,13350,0
42,110,AI,OPEN,F,18956,18956,0
42,110,AI,EWS,N,2034,2034,0
42,110,AI,EWS,F,3792,3792,0
42,110,AI,OBC-NCL,N,4711,4844,0
42,110,AI,SC,N,2142,2142,0
42,110,AI,SC,F,3940,3940,0
42,110,AI,ST,N,1025,1025,0
42,111,AI,OPEN,N,13488,13718,0
42,111,AI,OPEN,F,21572,21572,0
42,111,AI,EWS,N,2048,2048,0
42,111,AI,EWS,F,3515,3515,0
42,111,AI,OBC-NCL,N,4896,4942,0
42,111,AI,OBC-NCL,F,8395,8395,0
42,111,AI,SC,N,2598,2645,0
42,111,AI,ST,N,1233,1233,0
42,111,AI,ST,F,1514,1514,0
42,112,AI,OPEN,N,11834,13859,0
42,112,AI,OPEN,F,21935,21935,0
42,112,AI,EWS,N,2153,2227,0
42,112,AI,EWS,F,4062,4062,0
42,112,AI,OBC-NCL,N,5005,5066,0
42,112,AI,SC,N,2302,2302,0
42,112,AI,SC,F,3584,3584,0
42,112,AI,ST,N,1154,1154,0
42,131,AI,OPEN,N,1529,2806,0
42,131,AI,OPEN,F,3423,4527,0
42,131,AI,OPEN-PwD,N,101,101,0
42,131,AI,OPEN-PwD,F,168,168,0
42,131,AI,EWS,N,314,345,0
42,131,AI,EWS,F,792,792,0
42,131,AI,OBC-NCL,N,573,1065,0
42,131,AI,OBC-NCL,F,1833,2291,0
42,131,AI,OBC-NCL-PwD,N,41,41,0
42,131,AI,SC,N,166,426,0
42,131,AI,SC,F,321,935,0
42,131,AI,ST,N,113,250,0
42,131,AI,ST,F,466,466,0
42,130,AI,OPEN,N,2929,3258,0
