iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,10171,13785,0
42,109,AI,OPEN,F,16218,19479,0
42,109,AI,EWS,N,1852,2049,0
42,109,AI,EWS,F,3056,3056,0
42,109,AI,OBC-NCL,N,4326,5208,0
42,109,AI,OBC-NCL,F,5905,7192,0
42,109,AI,SC,N,1941,2677,0
42,109,AI,SC,F,3253,3253,0
42,109,AI,ST,N,798,858,0
42,109,AI,ST,F,1349,1349,0
42,110,AI,OPEN,N,9726,14307,0
42,110,AI,OPEN,F,22347,22347,0
42,110,AI,EWS,N,2264,2264,0
42,110,AI,EWS,F,4094,4094,0
42,110,AI,OBC-NCL,N,4793,5504,0
42,110,AI,SC,N,2142,2142,0
42,110,AI,SC,F,4469,4469,0
42,110,AI,ST,N,1025,1025,0
42,111,AI,OPEN,N,14322,14549,0
42,111,AI,OPEN,F,21572,21572,0
42,111,AI,EWS,N,2240,2240,0
42,111,AI,EWS,F,4062,4062,0
42,111,AI,OBC-NCL,N,5351,5552,0
42,111,AI,OBC-NCL,F,8395,8395,0
42,111,AI,SC,N,2744,2746,0
42,111,AI,ST,N,1233,1233,0
42,111,AI,ST,F,1514,1514,0
42,112,AI,OPEN,N,14621,14924,0
42,112,AI,OPEN,F,22009,22009,0
42,112,AI,EWS,N,2360,2367,0
42,112,AI,EWS,F,4301,4301,0
42,112,AI,OBC-NCL,N,5601,5663,0
42,112,AI,SC,N,2749,2749,0
42,112,AI,SC,F,3584,3584,0
42,112,AI,ST,N,1154,1154,0
42,131,AI,OPEN,N,1529,2836,0
42,131,AI,OPEN,F,3423,5206,0
42,131,AI,OPEN-PwD,N,102,102,0
42,131,AI,OPEN-PwD,F,198,198,0
42,131,AI,EWS,N,314,361,0
42,131,AI,EWS,F,792,792,0
42,131,AI,OBC-NCL,N,573,1067,0
42,131,AI,OBC-NCL,F,1833,2291,0
42,131,AI,OBC-NCL-PwD,N,41,41,0
42,131,AI,SC,N,308,517,0
42,131,AI,SC,F,935,1035,0
42,131,AI,ST,N,159,268,0
42,131,AI,ST,F,466,466,0
42,130,AI,OPEN,N,2929,3258,0
42,130,AI,OPEN,F,6040,6040,0
42,130,AI,OPEN-PwD,N,132,132,0
42,130,AI,EWS,N,457,457,0
42,130,AI,OBC-NCL,N,1148,1284,0
42,130,AI,OBC-NCL,F,2763,2763,0
42,130,AI,SC,N,747,747,0
42,130,AI,ST,N,212,212,0
42,130,AI,ST,F,601,601,0
42,156,AI,OPEN,N,7414,7649,0
42,156,AI,OPEN,F,12898,12898,0
42,156,AI,EWS,N,1345,1345,0
42,156,AI,EWS,F,2271,2271,0
42,156,AI,OBC-NCL,N,2891,3014,0
42,156,AI,OBC-NCL,F,5790,5790,0
42,156,AI,SC,N,1977,1977,0
42,156,AI,ST,N,767,767,0
42,158,AI,OPEN,N,5193,7078,0
42,158,AI,OPEN,F,10066,12476,0
