iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,10171,13754,0
42,109,AI,OPEN,F,16218,19479,0
42,109,AI,EWS,N,1852,2049,0
42,109,AI,EWS,F,3056,3056,0
42,109,AI,OBC-NCL,N,4326,5208,0
42,109,AI,OBC-NCL,F,5905,7192,0
42,109,AI,SC,N,1941,2677,0
42,109,AI,SC,F,3253,3253,0
42,109,AI,ST,N,798,858,0
42,109,AI,ST,F,1349,1349,0
42,110,AI,OPEN,N,9726,14307,0
42,110,AI,OPEN,F,20988,20988,0
42,110,AI,EWS,N,2264,2264,0
42,110,AI,EWS,F,4094,4094,0
42,110,AI,OBC-NCL,N,4793,5504,0
42,110,AI,SC,N,2142,2142,0
42,110,AI,SC,F,4469,4469,0
42,110,AI,ST,N,1025,1025,0
42,111,AI,OPEN,N,13933,14479,0
42,111,AI,OPEN,F,21572,21572,0
42,111,AI,EWS,N,2240,2240,0
42,111,AI,EWS,F,4062,4062,0
42,111,AI,OBC-NCL,N,5351,5552,0
42,111,AI,OBC-NCL,F,8395,8395,0
42,111,AI,SC,N,2744,2746,0
42,111,AI,ST,N,1233,1233,0
42,111,AI,ST,F,1514,1514,0
42,112,AI,OPEN,N,14621,14924,0
42,112,AI,OPEN,F,22009,22009,0
42,112,AI,EWS,N,2265,2360,0
42,112,AI,EWS,F,4301,4301,0
42,112,AI,OBC-NCL,N,5601,5638,0
42,112,AI,SC,N,2749,2749,0
42,112,AI,SC,F,3584,3584,0
42,112,AI,ST,N,1154,1154,0
42,131,AI,OPEN,N,1529,2823,0
42,131,AI,OPEN,F,3423,5206,0
42,131,AI,OPEN-PwD,N,102,102,0
42,131,AI,OPEN-PwD,F,198,198,0
42,131,AI,EWS,N,314,361,0
42,131,AI,EWS,F,792,792,0
42,131,AI,OBC-NCL,N,573,1067,0
42,131,AI,OBC-NCL,F,1833,2291,0
42,131,AI,OBC-NCL-PwD,N,41,41,0
42,131,AI,SC,N,308,517,0
42,131,AI,SC,F,935,1035,0
42,131,AI,ST,N,159,268,0
42,131,AI,ST,F,466,466,0
42,130,AI,OPEN,N,2929,3258,0
42,130,AI,OPEN,F,6040,6040,0
42,130,AI,OPEN-PwD,N,132,132,0
42,130,AI,EWS,N,457,457,0
42,130,AI,OBC-NCL,N,1148,1284,0
42,130,AI,OBC-NCL,F,2763,2763,0
42,130,AI,SC,N,747,747,0
42,130,AI,ST,N,212,212,0
42,130,AI,ST,F,601,601,0
42,156,AI,OPEN,N,7414,7649,0
42,156,AI,OPEN,F,12898,12898,0
42,156,AI,EWS,N,1106,1106,0
42,156,AI,EWS,F,2271,2271,0
42,156,AI,OBC-NCL,N,2891,3014,0
42,156,AI,OBC-NCL,F,5790,5790,0
42,156,AI,SC,N,1977,1977,0
42,156,AI,ST,N,767,767,0
42,158,AI,OPEN,N,5193,7070,0
42,158,AI,OPEN,F,10066,12476,0
42,158,AI,OPEN-PwD,N,150,150,1
42,158,AI,EWS,N,933,1085,0
42,158,AI,EWS,F,1880,1880,0
42,158,AI,OBC-NCL,N,2114,2676,0
42,158,AI,OBC-NCL,F,3404,4912,0
42,158,AI,SC,N,1242,1728,0
42,158,AI,SC,F,2431,2431,0
42,158,AI,ST,N,511,599,0
42,158,AI,ST,F,1022,1022,0
42,171,AI,OPEN,N,3088,4825,0
42,171,AI,OPEN,F,7181,8092,0
42,171,AI,OPEN-PwD,N,145,145,0
42,171,AI,OPEN-PwD,F,202,202,1
42,171,AI,EWS,N,617,657,0
42,171,AI,EWS,F,1369,1369,0
42,171,AI,OBC-NCL,N,1407,2001,0
42,171,AI,OBC-NCL,F,2392,2405,0
42,171,AI,OBC-NCL-PwD,N,21,21,1
42,171,AI,SC,N,726,1220,0
42,171,AI,SC,F,1419,1480,0
42,171,AI,ST,N,373,427,0
42,171,AI,ST,F,1021,1021,0
42,248,AI,OPEN,N,5184,9649,0
42,248,AI,OPEN,F,14914,17826,0
42,248,AI,EWS,N,1423,1488,0
42,248,AI,EWS,F,3021,3021,0
42,248,AI,OBC-NCL,N,3064,3829,0
42,248,AI,OBC-NCL,F,5563,7014,0
42,248,AI,SC,N,1563,2192,0
42,248,AI,SC,F,2245,2280,0
42,248,AI,ST,N,778,827,0
42,248,AI,ST,F,1516,1516,0
42,249,AI,OPEN,N,10414,10820,0
42,249,AI,OPEN,F,18777,18777,0
42,249,AI,EWS,N,1569,1569,0
42,249,AI,OBC-NCL,N,3814,4222,0
42,249,AI,OBC-NCL,F,7807,7807,0
42,249,AI,SC,N,2031,2324,0
42,249,AI,ST,N,933,1277,0
42,250,AI,OPEN,N,9837,11572,0
42,250,AI,OPEN,F,18995,18995,0
42,250,AI,EWS,N,1997,1997,0
42,250,AI,OBC-NCL,N,4181,4260,0
42,250,AI,OBC-NCL,F,7937,7937,0
42,250,AI,SC,N,2446,2446,0
42,250,AI,SC,F,4296,4296,0
42,250,AI,ST,N,1280,1280,0
42,251,AI,OPEN,N,11219,11770,0
42,251,AI,OPEN,F,18956,18956,0
42,251,AI,EWS,N,1677,1799,0
42,251,AI,OBC-NCL,N,4250,4298,0
42,251,AI,SC,N,2442,2442,0
42,251,AI,SC,F,3393,3393,0
42,251,AI,ST,N,1269,1269,0
42,261,AI,OPEN,N,9175,14251,0
42,261,AI,OPEN,F,17898,21407,0
42,261,AI,EWS,N,2100,2100,0
42,261,AI,EWS,F,3633,3633,0
42,261,AI,OBC-NCL,N,4741,5446,0
42,261,AI,OBC-NCL,F,7176,7176,0
42,261,AI,SC,N,2799,2935,0
42,261,AI,SC,F,3949,3949,0
42,261,AI,ST,N,1240,1240,0
42,261,AI,ST,F,1529,1529,0
42,260,AI,OPEN,N,14409,14786,0
42,260,AI,OPEN,F,23095,23095,0
42,260,AI,EWS,N,2349,2367,0
42,260,AI,OBC-NCL,N,5663,5807,0
42,260,AI,SC,N,2910,2976,0
42,260,AI,ST,N,1398,1398,0
42,260,AI,ST,F,101,101,1
43,6,AI,OPEN,N,772,2614,0
43,6,AI,OPEN,F,2697,4628,0
43,6,AI,OPEN-PwD,N,49,49,0
43,6,AI,OPEN-PwD,F,104,104,0
43,6,AI,EWS,N,501,642,0
43,6,AI,EWS,F,1172,1241,0
43,6,AI,OBC-NCL,N,544,1588,0
43,6,AI,OBC-NCL,F,1692,3689,0
43,6,AI,OBC-NCL-PwD,N,74,74,1
43,6,AI,SC,N,59,952,0
43,6,AI,SC,F,1156,1926,0
43,6,AI,ST,N,227,475,0
43,6,AI,ST,F,365,365,0
43,72,AI,OPEN,N,1059,1678,0
43,72,AI,OPEN,F,2702,3173,0
43,72,AI,EWS,N,394,652,0
43,72,AI,OBC-NCL,N,1069,1757,0
43,72,AI,OBC-NCL,F,2823,2823,0
43,72,AI,SC,N,245,570,0
43,72,AI,SC,F,2249,2249,0
43,72,AI,ST,N,579,579,0
43,97,AI,OPEN,N,1509,2642,0
43,97,AI,OPEN,F,3069,5332,0
43,97,AI,OPEN-PwD,N,143,179,0
43,97,AI,OPEN-PwD,F,118,118,0
43,97,AI,EWS,N,385,499,0
43,97,AI,EWS,F,1465,1647,0
43,97,AI,EWS-PwD,N,20,20,1
43,97,AI,OBC-NCL,N,542,1449,0
43,97,AI,OBC-NCL,F,1961,3421,0
43,97,AI,SC,N,154,936,0
43,97,AI,SC,F,664,1655,0
43,97,AI,ST,N,142,487,0
43,97,AI,ST,F,402,502,0
43,104,AI,OPEN,N,5243,8101,0
43,104,AI,OPEN,F,5019,14327,0
43,104,AI,OPEN-PwD,N,234,234,1
43,104,AI,EWS,N,1216,1363,0
43,104,AI,EWS,F,2924,2924,0
43,104,AI,OBC-NCL,N,2800,3976,0
43,104,AI,OBC-NCL,F,6818,6843,0
43,104,AI,SC,N,1610,2164,0
43,104,AI,SC,F,2890,2890,0
43,104,AI,ST,N,1255,1306,0
43,104,AI,ST,F,1226,1226,0
43,109,AI,OPEN,N,2290,4134,0
43,109,AI,OPEN,F,6178,7857,0
