iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,12511,14997,0
42,109,AI,OPEN,F,18989,21229,0
42,109,AI,EWS,N,1852,2341,0
42,109,AI,EWS,F,3354,3354,0
42,109,AI,OBC-NCL,N,4326,5274,0
42,109,AI,OBC-NCL,F,5905,7192,0
42,109,AI,SC,N,1941,2799,0
42,109,AI,SC,F,3985,3985,0
42,109,AI,ST,N,798,858,0
42,109,AI,ST,F,1349,1349,0
42,110,AI,OPEN,N,13350,16386,0
42,110,AI,OPEN,F,23095,23095,0
42,110,AI,EWS,N,2562,2562,0
42,110,AI,EWS,F,4094,4094,0
42,110,AI,OBC-NCL,N,4896,5952,0
42,110,AI,SC,N,2142,2142,0
42,110,AI,SC,F,4616,4616,0
42,110,AI,ST,N,1025,1025,0
42,111,AI,OPEN,N,14819,15374,0
42,111,AI,OPEN,F,21572,21572,0
42,111,AI,EWS,N,2438,2438,0
42,111,AI,EWS,F,4301,4301,0
42,111,AI,OBC-NCL,N,5351,5663,0
42,111,AI,OBC-NCL,F,8395,8395,0
42,111,AI,SC,N,2744,2746,0
42,111,AI,ST,N,1233,1233,0
42,111,AI,ST,F,1514,1514,0
42,112,AI,OPEN,N,15346,16123,0
42,112,AI,OPEN,F,22009,22009,0
42,112,AI,EWS,N,2642,2658,0
42,112,AI,EWS,F,4349,4349,0
42,112,AI,OBC-NCL,N,5601,5991,0
42,112,AI,SC,N,2749,2749,0
42,112,AI,SC,F,3584,3584,0
42,112,AI,ST,N,1154,1154,0
42,131,AI,OPEN,N,1529,3101,0
42,131,AI,OPEN,F,3423,5206,0
42,131,AI,OPEN-PwD,N,102,102,0
42,131,AI,OPEN-PwD,F,198,198,0
42,131,AI,EWS,N,340,367,0
42,131,AI,EWS,F,792,792,0
42,131,AI,OBC-NCL,N,664,1134,0
42,131,AI,OBC-NCL,F,1833,2291,0
42,131,AI,OBC-NCL-PwD,N,41,41,0
42,131,AI,SC,N,308,651,0
42,131,AI,SC,F,1035,1056,0
42,131,AI,ST,N,159,268,0
42,131,AI,ST,F,466,466,0
42,130,AI,OPEN,N,3287,3468,0
42,130,AI,OPEN,F,7882,7882,0
42,130,AI,OPEN-PwD,N,132,132,0
42,130,AI,EWS,N,457,457,0
42,130,AI,OBC-NCL,N,1148,1284,0
42,130,AI,OBC-NCL,F,2763,2763,0
42,130,AI,SC,N,747,747,0
42,130,AI,ST,N,212,212,0
42,130,AI,ST,F,601,601,0
42,156,AI,OPEN,N,7414,7902,0
42,156,AI,OPEN,F,15560,15560,0
42,156,AI,EWS,N,1345,1345,0
42,156,AI,EWS,F,2747,2747,0
42,156,AI,OBC-NCL,N,2891,3014,0
42,156,AI,OBC-NCL,F,5790,5790,0
42,156,AI,SC,N,1977,1977,0
42,156,AI,ST,N,767,767,0
42,158,AI,OPEN,N,5193,7714,0
42,158,AI,OPEN,F,10066,12898,0
42,158,AI,OPEN-PwD,N,150,150,1
42,158,AI,EWS,N,1046,1225,0
42,158,AI,EWS,F,1880,1880,0
42,158,AI,OBC-NCL,N,2114,2692,0
42,158,AI,OBC-NCL,F,3404,4912,0
42,158,AI,SC,N,1242,1765,0
42,158,AI,SC,F,2431,2431,0
42,158,AI,ST,N,511,599,0
42,158,AI,ST,F,1022,1022,0
42,171,AI,OPEN,N,3088,5190,0
42,171,AI,OPEN,F,7181,8719,0
42,171,AI,OPEN-PwD,N,145,145,0
42,171,AI,OPEN-PwD,F,202,202,1
42,171,AI,EWS,N,617,657,0
42,171,AI,EWS,F,1369,1369,0
42,171,AI,OBC-NCL,N,1407,2001,0
42,171,AI,OBC-NCL,F,2405,2954,0
42,171,AI,OBC-NCL-PwD,N,21,21,1
42,171,AI,SC,N,726,1220,0
42,171,AI,SC,F,1419,1480,0
42,171,AI,ST,N,373,441,0
42,171,AI,ST,F,1021,1021,0
42,248,AI,OPEN,N,7844,10826,0
42,248,AI,OPEN,F,14914,17907,0
42,248,AI,EWS,N,1488,1754,0
42,248,AI,EWS,F,3204,3204,0
42,248,AI,OBC-NCL,N,3064,3847,0
42,248,AI,OBC-NCL,F,5563,7075,0
42,248,AI,SC,N,1971,2294,0
42,248,AI,SC,F,2245,2280,0
42,248,AI,ST,N,823,834,0
42,248,AI,ST,F,1516,1516,0
42,249,AI,OPEN,N,10414,11379,0
42,249,AI,OPEN,F,18777,18777,0
42,249,AI,EWS,N,1786,1786,0
42,249,AI,OBC-NCL,N,3814,4255,0
42,249,AI,OBC-NCL,F,8565,8565,0
42,249,AI,SC,N,2031,2324,0
42,249,AI,ST,N,933,1277,0
42,250,AI,OPEN,N,11483,13116,0
42,250,AI,OPEN,F,20126,20126,0
42,250,AI,EWS,N,2151,2151,0
42,250,AI,OBC-NCL,N,4181,4298,0
42,250,AI,OBC-NCL,F,7937,7937,0
42,250,AI,SC,N,2446,2446,0
42,250,AI,SC,F,4323,4323,0
42,250,AI,ST,N,1307,1307,0
42,251,AI,OPEN,N,11643,12505,0
42,251,AI,OPEN,F,18956,18956,0
42,251,AI,EWS,N,1799,2254,0
42,251,AI,OBC-NCL,N,4453,4490,0
42,251,AI,SC,N,2442,2442,0
42,251,AI,SC,F,3393,3393,0
42,251,AI,ST,N,1280,1280,0
42,261,AI,OPEN,N,12432,15792,0
42,261,AI,OPEN,F,21407,22377,0
42,261,AI,EWS,N,2315,2315,0
42,261,AI,EWS,F,3847,3847,0
42,261,AI,OBC-NCL,N,4741,5667,0
42,261,AI,OBC-NCL,F,7176,7176,0
42,261,AI,SC,N,2860,3045,0
42,261,AI,SC,F,3949,3949,0
42,261,AI,ST,N,1240,1240,0
42,261,AI,ST,F,1529,1529,0
42,260,AI,OPEN,N,15676,16257,0
42,260,AI,OPEN,F,23463,23463,0
42,260,AI,EWS,N,2649,2744,0
42,260,AI,OBC-NCL,N,5807,5808,0
42,260,AI,SC,N,2910,3153,0
42,260,AI,ST,N,1398,1398,0
42,260,AI,ST,F,101,101,1
43,6,AI,OPEN,N,772,2694,0
43,6,AI,OPEN,F,3713,4647,0
43,6,AI,OPEN-PwD,N,49,49,0
43,6,AI,OPEN-PwD,F,104,104,0
43,6,AI,EWS,N,501,642,0
43,6,AI,EWS,F,1172,1241,0
43,6,AI,OBC-NCL,N,544,1588,0
43,6,AI,OBC-NCL,F,1692,3689,0
43,6,AI,OBC-NCL-PwD,N,74,74,1
43,6,AI,SC,N,59,952,0
43,6,AI,SC,F,1156,1926,0
43,6,AI,ST,N,227,475,0
43,6,AI,ST,F,365,365,0
43,72,AI,OPEN,N,1059,1704,0
43,72,AI,OPEN,F,2702,3173,0
43,72,AI,EWS,N,652,876,0
43,72,AI,OBC-NCL,N,1101,1779,0
43,72,AI,OBC-NCL,F,2823,2823,0
43,72,AI,SC,N,245,570,0
43,72,AI,SC,F,2249,2249,0
43,72,AI,ST,N,579,579,0
43,97,AI,OPEN,N,1509,2824,0
43,97,AI,OPEN,F,3069,5426,0
43,97,AI,OPEN-PwD,N,143,179,0
43,97,AI,EWS,N,385,549,0
43,97,AI,EWS,F,1465,1647,0
43,97,AI,EWS-PwD,N,20,20,1
43,97,AI,OBC-NCL,N,542,1449,0
43,97,AI,OBC-NCL,F,1961,3421,0
43,97,AI,SC,N,154,936,0
43,97,AI,SC,F,664,1655,0
43,97,AI,ST,N,142,487,0
43,97,AI,ST,F,402,502,0
43,104,AI,OPEN,N,5243,9064,0
43,104,AI,OPEN,F,14327,14929,0
43,104,AI,OPEN-PwD,N,234,234,1
43,104,AI,EWS,N,1244,1685,0
43,104,AI,EWS,F,2924,2924,0
43,104,AI,OBC-NCL,N,2800,4004,0
43,104,AI,OBC-NCL,F,6818,6843,0
43,104,AI,SC,N,1610,2321,0
43,104,AI,SC,F,2890,2890,0
43,104,AI,ST,N,1306,1367,0
43,104,AI,ST,F,1226,1226,0
43,109,AI,OPEN,N,2290,4371,0
43,109,AI,OPEN,F,6178,7857,0
43,109,AI,OPEN-PwD,N,158,69,1
43,109,AI,EWS,N,590,854,0
43,109,AI,EWS,F,1855,2162,0
43,109,AI,OBC-NCL,N,1078,2034,0
43,109,AI,OBC-NCL,F,1854,4500,0
43,109,AI,OBC-NCL-PwD,N,65,65,1
43,109,AI,SC,N,550,1115,0
43,109,AI,SC,F,1478,1796,0
43,109,AI,ST,N,217,335,0
43,109,AI,ST,F,336,770,0
43,109,AI,ST-PwD,N,8,8,1
43,131,AI,OPEN,N,1,67,0
43,131,AI,OPEN,F,56,291,0
43,131,AI,OPEN-PwD,N,3,5,0
43,131,AI,OPEN-PwD,F,35,35,0
43,131,AI,EWS,N,6,20,0
43,131,AI,EWS,F,29,74,0
43,131,AI,EWS-PwD,N,2,2,0
43,131,AI,OBC-NCL,N,10,58,0
43,131,AI,OBC-NCL,F,59,227,0
